tconst,omdb_title,omdb_directors,omdb_writers
tt0170336,Opstinsko dete,Mladomir 'Purisa' Djordjevic,Mladomir 'Purisa' Djordjevic; Miodrag Djurdjevic; Branislav Nusic
tt0170407,Pizza King,Ole Christian Madsen,Ole Christian Madsen; Janus Nabil Bakrawi; Lars Kristian Andersen
tt0170483,På spaning...,Ulf von Strauss,Ulf von Strauss
tt0170494,Rapport från Stockholms sexträsk,Arne Brandhild,N/A
tt0170648,Szervezés kérdése,Ferenc András,N/A
tt0171388,La jena di Londra,Gino Mangini,Gino Mangini
tt0172299,Datorie si sacrificiu,Ion Sahighian,N/A
tt0172723,Lichtspieler,Benjamin Herrmann; Björn Kurt,N/A
tt0173390,Sugar Town,Allison Anders; Kurt Voss,Allison Anders; Kurt Voss
tt0174073,Nona,Grisha Ostrovski,Stefan Tsanev; Yordan Yovkov
tt0174131,Postoronnyaya zhenshchina,Ivan Pyryev,N/A
tt0174280,Trial Marriage,William Hughes Curran,N/A
tt0174993,O Snehurce,Vera Plívová-Simková,Vera Plívová-Simková
tt0175267,Two-Fisted Jefferson,Roy Clements,Roy Clements
tt0175721,Her Good Name,George Terwilliger,Horace Hazeltine; Edfrid A. Bingham
